01880002     	510401	7	Group 7 - FII	14	Exempt	812.84	.00	45.00	.00	.00	105.67	45.00	.00	767.84	918.51	CAD   	20190528
01880002     	510401	8	Group 8 - NAC	15	Standard Marketing Fund	8537.41	.00	45.00	.00	.00	1109.87	8457.41	169.15	8457.41	9647.28	CAD   	20190528
01880002     	510401	8	Group 8 - NAC	16	Exempt	812.84	.00	45.00	.00	.00	105.67	45.00	.00	767.84	918.51	CAD   	20190528
01940002     	310301	7	Group 7 - FII	17	Standard	675.00	.00	.00	.00	.00	42.19	675.00	40.50	675.00	717.19	USD   	20190528
01940002     	310301	8	Group 8 - NAC	21	Standard Marketing Fund	675.00	.00	.00	.00	.00	42.19	675.00	13.50	675.00	717.19	USD   	20190528
01970002     	122101	7	Group 7 - FII	15	Standard	3460.00	110.44	10.44	.00	.00	229.22	3560.00	213.60	3560.00	3799.66	USD   	20190528
01970002     	122101	7	Group 7 - FII	16	Exempt	3415.00	10.44	10.44	.00	.00	226.24	10.44	.00	3415.00	3651.68	USD   	20190528
01970002     	122101	8	Group 8 - NAC	18	Standard Marketing Fund	3460.00	110.44	10.44	.00	.00	229.22	3560.00	71.20	3560.00	3799.66	USD   	20190528
01970002     	122101	8	Group 8 - NAC	19	Exempt	3415.00	10.44	10.44	.00	.00	226.24	10.44	.00	3415.00	3651.68	USD   	20190528
02040002     	511301	7	Group 7 - FII	13	Standard	2021.99	.00	60.00	.00	.00	262.88	1961.99	117.72	1961.99	2284.87	CAD   	20190528
02040002     	511301	7	Group 7 - FII	14	Exempt	452.30	.00	60.00	.00	.00	58.81	60.00	.00	392.30	511.11	CAD   	20190528
02040002     	511301	8	Group 8 - NAC	15	Standard Marketing Fund	2021.99	.00	60.00	.00	.00	262.88	1961.99	39.24	1961.99	2284.87	CAD   	20190528
02040002     	511301	8	Group 8 - NAC	16	Exempt	452.30	.00	60.00	.00	.00	58.81	60.00	.00	392.30	511.11	CAD   	20190528
02270002     	40201	7	Group 7 - FII	13	Standard	327.40	1275.00	.00	.00	.00	26.19	202.40	12.14	1602.40	1628.59	USD   	20190528
02270002     	40201	8	Group 8 - NAC	15	Standard Marketing Fund	327.40	1275.00	.00	.00	.00	26.19	202.40	4.05	1602.40	1628.59	USD   	20190528
02490002     	511701	7	Group 7 - FII	13	Standard	4008.10	.00	.00	.00	.00	521.06	3864.10	231.85	4008.10	4529.16	CAD   	20190528
02490002     	511701	7	Group 7 - FII	14	Exempt	1826.83	.00	.00	.00	.00	237.49	144.00	.00	1826.83	2064.32	CAD   	20190528
02490002     	511701	8	Group 8 - NAC	15	Standard Marketing Fund	4008.10	.00	.00	.00	.00	521.06	3864.10	77.28	4008.10	4529.16	CAD   	20190528
02490002     	511701	8	Group 8 - NAC	16	Exempt	1826.83	.00	.00	.00	.00	237.49	144.00	.00	1826.83	2064.32	CAD   	20190528
02570002     	530701	7	Group 7 - FII	13	Standard	2651.96	.00	.00	.00	.00	318.23	2651.96	159.12	2651.96	2970.19	CAD   	20190528
02570002     	530701	8	Group 8 - NAC	15	Standard Marketing Fund	2651.96	.00	.00	.00	.00	318.23	2651.96	53.04	2651.96	2970.19	CAD   	20190528
02680002     	511901	7	Group 7 - FII	13	Standard	15032.16	.00	102.00	.00	122.54	1954.21	14465.55	867.93	15016.70	16986.37	CAD   	20190528
02680002     	511901	7	Group 7 - FII	14	Exempt	1426.84	.00	102.00	.00	.00	185.50	102.00	.00	1288.84	1612.34	CAD   	20190528
