00830002     	65301	7	Group 7 - FII	13	Standard	160.95	59.00	.00	.00	.00	14.89	219.95	13.20	219.95	234.84	USD   	20190527
00830002     	65301	8	Group 8 - NAC	15	Standard Marketing Fund	160.95	59.00	.00	.00	.00	14.89	219.95	4.40	219.95	234.84	USD   	20190527
03420002     	940101	7	Group 7 - FII	21	Standard	5719.07	.00	.00	.00	2180.00	285.95	5719.07	343.14	7899.07	6005.02	AED   	20190527
03420002     	940101	7	Group 7 - FII	43	940102	.00	75.00	.00	.00	.00	.00	75.00	.00	75.00	75.00	AED   	20190527
03420002     	940101	8	Group 8 - NAC	25	Standard Marketing Fund	5719.07	.00	.00	.00	2180.00	285.95	5719.07	.00	7899.07	6005.02	AED   	20190527
03420002     	940101	8	Group 8 - NAC	45	940102	.00	75.00	.00	.00	.00	.00	75.00	.00	75.00	75.00	AED   	20190527
03420004     	940103	13	Group 13 - FII	37	Standard	114.29	.00	.00	.00	.00	5.71	114.29	4.00	114.29	120.00	AED   	20190527
03420004     	940103	14	Group 14 - NAC	40	Standard Marketing Fund		114.29	.00	.00	.00	.00	5.71	114.29	.00	114.29	120.00	AED   	20190527
12850002     	 171401	7	Group 7 - FII	17	Standard	105.50	.00	.00	.00	.00	8.97	105.50	6.33	105.50	114.47	USD   	20190527
12850002     	 171401	8	Group 8 - NAC	21	Standard Marketing Fund	105.50	.00	.00	.00	.00	8.97	105.50	2.11	105.50	114.47	USD   	20190527
