00270002     	290302	8	Group 8 - NAC	25	Standard Marketing Fund	1038.33	344.11	7.95	.00	57.98	62.30	1277.73	25.55	1432.47	1444.74	USD   
00270002     	290302	8	Group 8 - NAC	26	Exempt	.00	79.89	7.95	.00	3.79	.00	7.95	.00	75.73	79.89	USD   
00270003     	290301	11	Group 11 - FII	19	Standard	1540.30	1791.95	245.00	.00	8.80	92.42	3083.25	185.00	3096.05	3424.67	USD   
00270003     	290301	11	Group 11 - FII	20	Exempt	.00	1712.79	245.00	.00	.00	.00	245.00	.00	1467.79	1712.79	USD   
00270003     	290301	12	Group 12 - NAC	28	Standard Marketing Fund	1540.30	1791.95	245.00	.00	8.80	92.42	3083.25	61.67	3096.05	3424.67	USD   
00270003     	290301	12	Group 12 - NAC	29	Exempt	.00	1712.79	245.00	.00	.00	.00	245.00	.00	1467.79	1712.79	USD   
00280002     	371601	7	Group 7 - FII	15	Standard	1526.23	918.82	.00	.00	140.12	120.59	2345.05	140.70	2585.17	2565.64	USD   
00280002     	371601	8	Group 8 - NAC	18	Standard Marketing Fund	1526.23	918.82	.00	.00	140.12	120.59	2345.05	46.90	2585.17	2565.64	USD   
00290002     	320101 	7	Group 7 - FII	13	Standard	1606.13	.00	.00	.00	.00	140.54	1606.13	96.37	1606.13	1746.67	USD   
00290002     	320101 	8	Group 8 - NAC	15	Standard Marketing Fund	1606.13	.00	.00	.00	.00	140.54	1606.13	32.12	1606.13	1746.67	USD   
00300002     	300701	7	Group 7 - FII	13	Standard	3032.68	3696.36	.00	.00	.41	154.66	6669.04	400.14	6729.45	6883.70	USD   
00300002     	300701	8	Group 8 - NAC	15	Standard Marketing Fund	3032.68	3696.36	.00	.00	.41	154.66	6669.04	133.38	6729.45	6883.70	USD   
00310002     	14701	7	Group 7 - FII	13	Standard	58.49	.00	.00	.00	30.06	4.83	58.49	3.51	88.55	63.32	USD   
00310002     	14701	8	Group 8 - NAC	15	Standard Marketing Fund	58.49	.00	.00	.00	30.06	4.83	58.49	1.17	88.55	63.32	USD   
00320002     	30801	7	Group 7 - FII	31	Standard	241.93	483.37	.00	.00	.00	14.52	725.30	43.52	725.30	739.82	USD   
00320002     	30801	8	Group 8 - NAC	37	Standard Marketing Fund	241.93	483.37	.00	.00	.00	14.52	725.30	14.51	725.30	739.82	USD   
00320003     	30701	11	Group 11 - FII	25	Standard	2536.70	869.96	.00	.00	.00	152.21	3406.66	204.40	3406.66	3558.87	USD   
00320003     	30701	12	Group 12 - NAC	35	Standard Marketing Fund	2536.70	869.96	.00	.00	.00	152.21	3406.66	68.13	3406.66	3558.87	USD   
00320005     	30202	19	Group 19 - FII	29	Standard	1513.63	649.76	548.44	.00	6.00	90.83	1614.95	96.90	1620.95	2254.22	USD   
00320005     	30202	19	Group 19 - FII	30	Exempt	1279.92	548.44	548.44	.00	.00	76.80	548.44	.00	1279.92	1905.16	USD   
00320005     	30202	20	Group 20 - NAC	39	Standard Marketing Fund	1513.63	649.76	548.44	.00	6.00	90.83	1614.95	32.30	1620.95	2254.22	USD   
00320005     	30202	20	Group 20 - NAC	40	Exempt	1279.92	548.44	548.44	.00	.00	76.80	548.44	.00	1279.92	1905.16	USD   
00330002     	270901 	7	Group 7 - FII	15	Standard	253.65	298.32	42.33	.00	.00	17.86	509.64	30.58	509.64	569.83	USD   
00330002     	270901 	7	Group 7 - FII	16	Exempt	84.65	298.32	42.33	.00	.00	5.82	42.33	.00	340.64	388.79	USD   
00330002     	270901 	8	Group 8 - NAC	18	Standard Marketing Fund	253.65	298.32	42.33	.00	.00	17.86	509.64	10.19	509.64	569.83	USD   
00330002     	270901 	8	Group 8 - NAC	19	Exempt	84.65	298.32	42.33	.00	.00	5.82	42.33	.00	340.64	388.79	USD   
00340002     	15301	7	Group 7 - FII	13	Standard	416.00	1500.24	.00	.00	.00	34.32	1916.24	114.97	1916.24	1950.56	USD   
00340002     	15301	7	Group 7 - FII	19	Book of Business	.00	682.95	.00	.00	.00	.00	682.95	20.49	682.95	682.95	USD   
00340002     	15301	8	Group 8 - NAC	15	Standard Marketing Fund	416.00	1500.24	.00	.00	.00	34.32	1916.24	38.32	1916.24	1950.56	USD   
00340002     	15301	8	Group 8 - NAC	20	Book of Business	.00	682.95	.00	.00	.00	.00	682.95	6.83	682.95	682.95	USD   
00350002     	171801	7	Group 7 - FII	15	Standard	16.63	.00	.00	.00	.00	1.16	16.63	1.00	16.63	17.79	USD   
00350002     	171801	8	Group 8 - NAC	18	Standard Marketing Fund	16.63	.00	.00	.00	.00	1.16	16.63	.33	16.63	17.79	USD   
00360002     	66401	7	Group 7 - FII	13	Standard	995.03	144.48	.00	.00	.00	77.12	1139.51	68.37	1139.51	1216.63	USD   
00360002     	66401	8	Group 8 - NAC	15	Standard Marketing Fund	995.03	144.48	.00	.00	.00	77.12	1139.51	22.79	1139.51	1216.63	USD   
00370002     	65001	7	Group 7 - FII	13	Standard	10510.39	2639.54	9.54	.00	712.12	835.08	13140.39	788.42	13852.51	13985.01	USD   
00370002     	65001	7	Group 7 - FII	14	Exempt	35.00	9.54	9.54	.00	.00	2.80	9.54	.00	35.00	47.34	USD   
00370002     	65001	8	Group 8 - NAC	15	Standard Marketing Fund	10510.39	2639.54	9.54	.00	712.12	835.08	13140.39	262.81	13852.51	13985.01	USD   
00370002     	65001	8	Group 8 - NAC	16	Exempt	35.00	9.54	9.54	.00	.00	2.80	9.54	.00	35.00	47.34	USD   
00380002     	180801	7	Group 7 - FII	13	Standard	19681.13	396.70	21.75	.00	.00	953.27	20054.08	1203.24	20056.08	21032.10	USD   
00380002     	180801	7	Group 7 - FII	14	Exempt	3619.56	21.75	21.75	.00	.00	171.36	21.75	.00	3619.56	3813.67	USD   
