20190517,10202,Group 12 - NAC,42,Standard Marketing Fund,3030.74,2545,0,0,144,250.04,5550.7402,111.01,5719.7402,5825.7798,USD   
20190518,10202,Group 11 - FII,27,Standard,2060.3501,5555.4902,0,0,0,169.98,7615.8398,456.95,7615.8398,7785.8198,USD   
20190518,10202,Group 12 - NAC,42,Standard Marketing Fund,2060.3501,5555.4902,0,0,0,169.98,7615.8398,152.32,7615.8398,7785.8198,USD   
20190517,10203,Group 15 - FII,30,Standard,2116.1599,0,0,0,0,174.58,2116.1599,126.97,2116.1599,2290.74,USD   
20190517,10203,Group 16 - NAC,39,Standard Marketing Fund,2116.1599,0,0,0,0,174.58,2116.1599,42.32,2116.1599,2290.74,USD   
20190518,10203,Group 15 - FII,30,Standard,5956.0601,130,0,0,0,491.41,5948.0601,356.88,6086.0601,6577.4702,USD   
20190518,10203,Group 15 - FII,31,Exempt,506.24,0,0,0,0,41.78,163,0,506.24,548.02,USD   
20190518,10203,Group 16 - NAC,39,Standard Marketing Fund,5956.0601,130,0,0,0,491.41,5948.0601,118.96,6086.0601,6577.4702,USD   
20190518,10203,Group 16 - NAC,40,Exempt,506.24,0,0,0,0,41.78,163,0,506.24,548.02,USD   
20190517,10204,Group 19 - FII,33,Standard,2704.76,592.93,0,0,0,223.15,3297.6899,197.86,3297.6899,3520.8401,USD   
20190517,10204,Group 20 - NAC,48,Standard Marketing Fund,2704.76,592.93,0,0,0,223.15,3297.6899,65.95,3297.6899,3520.8401,USD   
20190518,10204,Group 19 - FII,33,Standard,138,0,0,0,0,11.39,138,8.28,138,149.39,USD   
20190518,10204,Group 20 - NAC,48,Standard Marketing Fund,138,0,0,0,0,11.39,138,2.76,138,149.39,USD   
20190517,102201,Group 7 - FII,13,Standard,1206.42,2310,0,0,0,96.51,3516.4199,210.99,3516.4199,3612.9299,USD   
20190517,102201,Group 8 - NAC,15,Standard Marketing Fund,1206.42,2310,0,0,0,96.51,3516.4199,70.33,3516.4199,3612.9299,USD   
20190518,102201,Group 7 - FII,13,Standard,0,1509.5,0,0,0,0,1509.5,90.57,1509.5,1509.5,USD   
20190518,102201,Group 8 - NAC,15,Standard Marketing Fund,0,1509.5,0,0,0,0,1509.5,30.19,1509.5,1509.5,USD   
20190517,102301,Group 7 - FII,13,Standard,33.45,4268.4399,15,0,0,3.01,4286.8901,257.21,4286.8901,4304.8999,USD   
20190517,102301,Group 7 - FII,14,Exempt,0,128.4,15,0,0,0,15,0,113.4,128.4,USD   
20190517,102301,Group 8 - NAC,15,Standard Marketing Fund,33.45,4268.4399,15,0,0,3.01,4286.8901,85.74,4286.8901,4304.8999,USD   
20190517,102301,Group 8 - NAC,16,Exempt,0,128.4,15,0,0,0,15,0,113.4,128.4,USD   
20190518,102301,Group 7 - FII,13,Standard,0,2931.75,0,0,0,0,2931.75,175.91,2931.75,2931.75,USD   
20190518,102301,Group 8 - NAC,15,Standard Marketing Fund,0,2931.75,0,0,0,0,2931.75,58.64,2931.75,2931.75,USD   
20190517,102401,Group 7 - FII,19,Standard,96.53,484.29,0,0,17.48,9.65,580.82,34.85,598.3,590.47,USD   
20190517,102401,Group 8 - NAC,21,Standard Marketing Fund,96.53,484.29,0,0,17.48,9.65,580.82,11.62,598.3,590.47,USD   
20190518,102401,Group 7 - FII,19,Standard,394.63,1400.83,0,0,0,39.46,1620.88,97.25,1798.46,1837.92,USD   
20190518,102401,Group 8 - NAC,21,Standard Marketing Fund,394.63,1400.83,0,0,0,39.46,1620.88,32.42,1798.46,1837.92,USD   
20190517,102701,Group 7 - FII,15,Standard,1069.1801,1430.41,0,0,0,88.21,2219.5901,133.18,2499.5901,2587.8,USD   
20190517,102701,Group 8 - NAC,18,Standard Marketing Fund,1069.1801,1430.41,0,0,0,88.21,2219.5901,44.39,2499.5901,2587.8,USD   
20190518,102701,Group 7 - FII,15,Standard,304.21,1785,0,0,0,25.1,2075.21,124.51,2089.21,2114.3101,USD   
20190518,102701,Group 7 - FII,16,Exempt,63,0,0,0,0,5.2,14,0,63,68.2,USD   
20190518,102701,Group 8 - NAC,18,Standard Marketing Fund,304.21,1785,0,0,0,25.1,2075.21,41.5,2089.21,2114.3101,USD   
20190518,102701,Group 8 - NAC,19,Exempt,63,0,0,0,0,5.2,14,0,63,68.2,USD   
20190517,102901,Group 7 - FII,17,Standard,2275.95,917.33,38,0,0,233.28,3045.28,182.72,3215.28,3504.5601,USD   
